Document	psif
While moving material to another location employee strained lower back.	nonsif
Lifting ton turbine shell and moving it to the end of the bay lifting.	nonsif
While driving home from work the foreign body moved and affected his vision.	nonsif
The employee has under a long time experienced pain in the left shoulder.	nonsif
For now the employee has been assigned to lighter duties.	nonsif
Injection of cortison in the muscle done by physician.	nonsif
The person will be sent to an orthopede.	nonsif
From employee statement Entered Hospital through temporary entrance.	nonsif
Shoe stick in divot in floor.	nonsif
Interview with witness To ni Hall confirmed statement Assigned to investigative team.	nonsif
Employee will not share medical information with case nurse.	nonsif
Has involved attorney and working with WC directly.	nonsif
EE said he was using the chopsaw and it made smoke.	nonsif
Pushing pins in.	nonsif
Intern working on Incoming Condition Reports office work.	nonsif
Parked on top floor th of the parking structure.	nonsif
While pushing cart and walking to the elevator associate slipped and fell on ice.	nonsif
Associate could feel pain going from lower back down left leg.	nonsif
Associate saw white flashes stars in his vision.	nonsif
This is a P meter that can not be disconnected remotely.	nonsif
Using the welder spark due to the fusion of the wire.	nonsif
En utilisant la soudeuse tincelle d la fusion du fil.	nonsif
He WAS wearing his faceshield at the time of the event.	nonsif
Employee was getting a cable sling out of the back of a float truck.	nonsif
Pneumatic Shut off Valve malfunctioned.	nonsif
The Solenoid Valve at its air supply line was stuck.	nonsif
No preventive maintenance plans for such valves.	nonsif
The entire worksite was inspected to ensure all access are free of obstructions.	nonsif
Rubber mats were used to cover the hoses to prevent trip and fall.	nonsif
EE was working at the Laminator.	nonsif
Performed inspection and advised the scaffolder to rectify.	nonsif
THE VALVE ON THE GRILL IS LEAKING.	nonsif
WHILE JAMES CONST.	nonsif
Employee was in the Southern Lights cafeteria.	nonsif
The top of the table came off and nearly hit his instep.	nonsif
Employee was not injured.	nonsif
Facility Prop Maint.	nonsif
Card board container placed in both probe ESD area and emergency exit route.	nonsif
Container generated V meter away from container.	nonsif
Probe ESD area is not properly defined segregated.	nonsif
Old signs for area left on floor.	nonsif
The accident took place during the operating of cutting machine.	nonsif
The injured picked up scraps of paper from the floor after cutting.	nonsif
While rising up she hit her head against on open door.	nonsif
bad line of truck.	nonsif
Found deer tick embedded in right side of chest.	nonsif
Rash was already forming.	nonsif
Working on a die in PM I was using a hammer.	nonsif
The hammer glanced off what I was striking and struck my left index finger.	nonsif
EE presented to MC at reporting pain to hand elbow wrist and forearm.	nonsif
She reported that the gun she worked with was changed last week.	nonsif
She is now experiencing pain at and has taken her own antiinflammatory.	nonsif
A meter number of should have been entered instead of the incorrect number provided.	nonsif
Employee was cleaning rocks through grating on crusher deck.	nonsif
Employee was able to keep his balance keep himself from falling.	nonsif
qc sampling laboratory operations.	nonsif
Occurred at am.	nonsif
Had just taken her gloves off.	nonsif
It finally stopped at the backstop all the way on the west end.	nonsif
Car small damage.	nonsif
The stone took off from passing car.	nonsif
Window was reported to be fixed at an authorised service.	nonsif
The securing tape broke when lifting battery pack out of AGV.	nonsif
The battery twisted and rotated twisting and straining my wrist.	nonsif
While closing covers on cc barge SGS contractor twisted her right foot.	nonsif
SGS supervisor took her to the doctor to be examined.	nonsif
Relatively new employee.	nonsif
Employee was walking line and turned right and strained a ligament in his knee.	nonsif
There was only minor damage to the bumpers.	nonsif
Upon review the switches were only rated for charging current.	nonsif
This was a good catch preventing potential equipment damage.	nonsif
Event involved a common carrier delivery.	nonsif
When the driver hooked up to pump the material of off the truck.	nonsif
His transfer pump packing was insufficient.	nonsif
Approximately ozs of SPECQ ULS was spilled on concrete.	nonsif
delivery truck arrived not knowing of leaking seal.	nonsif
Discuss proper care and procedures during cutting activities with employee.	nonsif
seem welder needs padding around frame where you lean into.	nonsif
On Friday April at pm.	nonsif
PT plant manager was walking through the plant on shutdown inspection.	nonsif
Across from the DI water station plant manager noticed two stacked stainless totes.	nonsif
of tote feet not resting on the bottom tote.	nonsif
He heard a crunch sound and felt a slight bump in his truck.	nonsif
Failed to have diphen tablet on persons.	nonsif
After finishing stack of pulled molds employee walked to shuttle button to activate.	nonsif
He was then sent to clinic.	nonsif
Generally the EE does this type of activity times a shift.	nonsif
Meeting set up to discuss proper equipment selection for project wing foot.	nonsif
One of the things being talked about it getting a sit down truck.	nonsif
Installing retaining rings assembly operations.	nonsif
assembly of valves assembly operations.	nonsif
medical treatment and time off work.	nonsif
Glass got into the eye.	nonsif
Started the frame up and glass went everywhere.	nonsif
Trailers at shipping receiving not having wheels chocked.	nonsif
mcnejx dog incident.	nonsif
The dog went toward the supervisor with it s tail wagging.	nonsif
In the meantime the reader was instructed to walk back to the company vehicle.	nonsif
Filling off an SBL ON ltr.	nonsif
QATAR Good Practices.	nonsif
ee states his job is installing the Dashboard Silencer in Trim.	nonsif
Today is his nd day on the job.	nonsif
He is up to date with his tetanus shot.	nonsif
Dicing final trim saw accordion detached from plastic covering.	nonsif
The reader explained that he caught it on a fence post that morning.	nonsif
This incident was enter incorrecty it sbould be a minor injury no treatment.	nonsif
Work related medical only injury incident.	nonsif
Contractor employee was using torch to burn ditching metal while installing new floor ditch.	nonsif
Employee did nt have proper PPE to perform hot work.	nonsif
Rash on both hands from previous condition.	nonsif
Press Relief Device Not Installed on TR at TDC.	nonsif
Part Not Like Like.	nonsif
On SSC attempted to replace the pressure relief device PRD on TR.	nonsif
However the parts reserved for this work were not like for like.	nonsif
The parts reserved for this job were a psi Qualitrol PRD and psi Qualitrol.	nonsif
The AME and Parts Specialist were notified of issue.	nonsif
Found poor housekeeping at the turbine compartment floor.	nonsif
SAUDI ARABIA Advised the site supervisor to take immediate action.	nonsif
Advised the site supervisor to take immediate action.	nonsif
Fuel bundle install months.	nonsif
Left side of the pallet was empty.	nonsif
Related to pulling out a spoiler rack and Ee felt a pop in elbow.	nonsif
HERC BUILD LIFT FOR TRANSFERING TUBE CASING TO PEDITSTALL RUBBER PADS.	nonsif
ALSO THE ANNUAL LOAD TEST GREEN TAG.	nonsif
WHICH MAYBE STILL DONE BY AN OUTSIDE COMPANY IS PUNCHED FOR JUNE OF.	nonsif
Employee felt something in his left eye.	nonsif
Court circuit sur prise v alimentation turbine four pot.	nonsif
The locator stopped his work photographed the scene and contacted his supervisor.	nonsif
The supervisor contacted the USIC SPOC for CE to report the unsafe condition.	nonsif
The kit has two lb vials of mercury in it.	nonsif
There s also a Lab Safety Hg Absorb container with some mercury in it.	nonsif
Employee gave all products to Mr Gonzalez to dispose of.	nonsif
Glass in right thumb when grabbing a Big John by the tab.	nonsif
I was installing seatbelts and the gun hit my left hand.	nonsif
and reported it to supervisor.	nonsif
The pressure was reading psi so we notified area NH crew.	nonsif
Handle on Gallon tote of Chlorine broke of today prior to a chemical transfer.	nonsif
I informed the vendor and it will be swapped out for a new tote.	nonsif
All issues resolved no follow up required.	nonsif
The storm water drain in front of chemical receiving was left closed last night.	nonsif
This is a recurring issue that happened just a couple of weeks ago.	nonsif
Second last stair step of the East Magaldi conveyor stairs was hit and damaged.	nonsif
This uneven step could cause someone to slip and fall in the stairs.	nonsif
Driving to lunch at South Melbourne business meetings event travel.	nonsif
Reset one of cylinders clamped the skilled technician s right ring finger.	nonsif
Employee was preparing to perform service work on a Mobile MRI unit.	nonsif
The accrual was M but should have been M.	nonsif
Right and left screw pressure running high shut oil system off and locked out.	nonsif
Closed off deverter valve to right oil filter.	nonsif
EE presents to MC to report a workplace injury.	nonsif
EE states the door he was sanding with his Lt hand was slightly opened.	nonsif
The investigation revealed the plug to be loose and Teflon tape not used.	nonsif
The pole was stenciled Z when it was actually part of Z.	nonsif
Lack of design feature to allow movement of wash fixture.	nonsif
A soldering iron was left ON after working hours.	nonsif
Always drive defensively and pay attention to those around you.	nonsif
Paying close attention to your surroundings kept you from being involved in an accident.	nonsif
The fixture was located on top of cardboard boxes.	nonsif
The boxes did not provide a stable base to store the fixture.	nonsif
The fixture tipped due to it being located on top of the unstable boxes.	nonsif
This near miss could have been prevented if.	nonsif
The fixture was stored correctly.	nonsif
These boxes contained belts for the body grinder.	nonsif
As the bottom pallet was lifted the fixture began to slide off the pallet.	nonsif
The fixture hit the rack in front of it before hitting the ground.	nonsif
Luckily no one was standing near the forklift when the fixture fell.	nonsif
The TP machining fixture also appears to be damaged.	nonsif
reviewed case with employee to use gloves or get UTA to perform task.	nonsif
Laceration to left index finger from carring metal strips without wearing gloves.	nonsif
States reaching more because of her shorter height.	nonsif
This requires extra force to lift and pull.	nonsif
States she was initially taught to do job carrying parts together in each arm.	nonsif
employee s hand struck by top close clamp.	nonsif
Trip hazard at TSS Rockwell.	nonsif
There are no stairs to gain entry to the pumping plant at TSS Rockwell.	nonsif
D Centrifuge feed line valve failed resulting in acid mist.	nonsif
Two near by employee s got mist on them.	nonsif
Airport Notification Failure.	nonsif
Underground repaired the fault and at the airport was placed back on ComEd source.	nonsif
good catch by crew during wiring.	nonsif
This good catch happened during the wiring for L GCB at station.	nonsif
Also no food to be stored in desks or in work areas.	nonsif
Additional mouse traps put in place.	nonsif
She felt something down on her right leg.	nonsif
She reached down and gently swatted the area.	nonsif
It went under the LM machining center.	nonsif
The person could feel a slight sensation on the front of that leg afterwards.	nonsif
She looked closely and could see a mark from broken skin.	nonsif
It appears that the teeth of the mouse damaged her skin on the shin.	nonsif
Communications provided to employees on the importance of maintaining a clean and orderly workplace.	nonsif
Murray experienced pain in middle of back below shoulders as the day wore on.	nonsif
Murray asked for hotpacks advil from his Shift leader OAtiyeh at approx.	nonsif
pm for the soreness in his back.	nonsif
pm went home due to the soreness in his back.	nonsif
The new chute was not built exactly like the one it was replacing.	nonsif
A survey of the labs found three more spills.	nonsif
Failure to clean up areas of use in lab.	nonsif
Wind was coming from the SE the entire morning according to the crew.	nonsif
Tool Room Door Left Unsecured.	nonsif
Tripping hazards in Isle of company truck.	nonsif
I was on satellite antenna job without a rotation for hours.	nonsif
Removing faulty dosing board disassembly operations.	nonsif
While closing Cardboard box employee cut finger on edge of box PPE being provided.	nonsif
Martine changed medication.	nonsif
Having this compromises our professionalism and perception.	nonsif
Crew leader on the phone while driving through yard.	nonsif
I used the railing and managed not to fall but I jarred myself.	nonsif
A little while later I started feeling something and I reported to my supervisor.	nonsif
The operator was in his WS and not wearing ear plugs cleaning operations.	nonsif
machine leak and trash around machine.	nonsif
Personnel in the area immediately retrieved the employee and initiated the ERT response.	nonsif
Employee fell into unguarded flash cooler seal tank overflow weir.	nonsif
water leak by huddle board for team.	nonsif
Not on the original file.	nonsif
Pulling a cabinet up steps on a dolly.	nonsif
Readjust rounding station arm to releive tension.	nonsif
Employee was holding steam gun while another employee turned it on.	nonsif
Original job tha ee hurt her wrist on was sliding door glass and install.	nonsif
Ee states she was putting in the RU belt molding and felt something po.	nonsif
Noo Face shield checking Sec Voltage FLS on site to perform enhanced audit.	nonsif
Note volt rubber gloves in use.	nonsif
Crew then preceded to hook up DYTEL to locate secondary faults.	nonsif
Bother were found roughly ten feet apart with one located in previous pit.	nonsif
Crew arrived and preceded to set up work area protection.	nonsif
Lineman replied with head shrug and no explanation see comments below.	nonsif
the operator felt pain going up the stairs quickly.	nonsif
File test box edge.	nonsif
He was going to move the pallet with choppers using the forklift.	nonsif
For that he moved a chopper to see the blades.	nonsif
He lost the control of the chopper falling it down in his hand.	nonsif
Confined space nitrogen tank on the floor Improper storage.	nonsif
While trying to repair a tape break on Tape Line No.	nonsif
POOR SNOW REMOVAL.	nonsif
severe shoulder and neck pain due to long hours at work using laptop.	nonsif
Both of these conditions did occur on the reengineering of L at TSS Burnham.	nonsif
The Primary factors driving the requirement for rereauthorization are as follows.	nonsif
Relay upgrade work on L was originally scheduled to be completed by.	nonsif
Work was performed from to.	nonsif
Poor light on some storage areas.	nonsif
Over permanent storage area lighting condition needs to be checked as a continuosly basis.	nonsif
EMPLOYEE WAS CHECKING THE C P SCREENS.	nonsif
Employee experienced eye throat irritation headache as a result of the exposure.	nonsif
Grinding Camshaft Bearing Journals machining.	nonsif
Contacted allergic reaction from the Resin.	nonsif
